1608940800 6767
1609027200 10112
1609113600 11904
1609200000 12902
1609286400 12583
1609372800 0
1609459200 13065
1609545600 16950
1609632000 0
1609718400 0
1609804800 15356
1609891200 0
1609977600 20608
1610064000 21056
1610150400 0
1610236800 15603
1610323200 0
1610409600 20439
1610496000 0
1610582400 20479
1610668800 5766
1610755200 19895
1610841600 0
1610928000 15354
1611014400 15816
1611100800 14579
1611187200 0
1611273600 17559
1611360000 19722
1611446400 0
1611532800 17688
1611619200 14261
1611705600 0
1611792000 0
1611878400 35479
1611964800 18387
1612051200 2970
1612137600 16161
1612224000 0
1612310400 0
1612396800 0
1612483200 0
1612569600 2610
